brand,year,engine_size,fuel_type,transmission,mileage,condition,price,model
Tesla,2016,2.3,Petrol,Manual,114832,New,26613.92,Model X
BMW,2018,4.4,Electric,Manual,143190,Used,14679.61,5 Series
Audi,2013,4.5,Electric,Manual,181601,New,44402.61,A4
Tesla,2011,4.1,Diesel,Automatic,68682,New,86374.33,Model Y
Ford,2009,2.6,Diesel,Manual,223009,Like New,73577.1,Mustang
Audi,2019,2.4,Diesel,Automatic,246553,Like New,88969.76,Q7
Audi,2020,4.0,Electric,Automatic,135486,Used,63498.75,Q5
Tesla,2017,5.3,Hybrid,Automatic,83030,New,17381.19,Model Y
Honda,2023,5.7,Electric,Manual,120360,Like New,15905.62,Civic
Ford,2010,1.5,Electric,Automatic,135009,Like New,9560.22,Explorer
Tesla,2001,1.8,Diesel,Automatic,298875,Like New,58872.6,Model 3
Ford,2017,5.7,Electric,Automatic,169737,Used,28074.19,Mustang
Ford,2006,4.7,Petrol,Automatic,114360,New,74766.45,Fiesta
Audi,2023,5.4,Electric,Automatic,263894,Like New,70193.74,Q7
BMW,2014,2.0,Electric,Automatic,65018,New,35220.52,X3
Ford,2010,3.9,Electric,Automatic,240904,Used,21796.16,Mustang
Mercedes,2017,4.5,Electric,Automatic,136817,New,14728.03,GLA
Audi,2022,4.4,Hybrid,Automatic,192803,Like New,75044.95,A3
Honda,2011,3.0,Electric,Automatic,86984,New,47791.89,Civic
BMW,2005,1.1,Petrol,Automatic,290595,New,35735.34,X5
Mercedes,2019,3.9,Petrol,Automatic,192608,Used,86382.04,C-Class
Mercedes,2022,2.3,Electric,Manual,12150,Used,61393.26,E-Class
Honda,2012,3.3,Diesel,Manual,275550,New,54210.22,CR-V
BMW,2019,5.8,Hybrid,Automatic,150853,New,75621.02,X5
Audi,2015,3.0,Electric,Automatic,188489,New,82480.4,Q5
Toyota,2017,5.2,Electric,Automatic,18325,Used,70176.95,Camry
BMW,2009,1.9,Electric,Manual,199756,Used,46800.6,X3
Honda,2022,4.4,Diesel,Manual,204541,New,41033.39,Accord
Mercedes,2007,5.9,Diesel,Manual,17669,Used,78308.17,GLC
Audi,2017,1.5,Diesel,Automatic,207836,Like New,54201.18,A3
BMW,2020,1.0,Hybrid,Automatic,132915,Used,71916.68,X5
Toyota,2000,3.2,Petrol,Automatic,196681,Used,89587.88,Corolla
Toyota,2022,1.5,Hybrid,Automatic,50812,Used,92009.61,Corolla
Ford,2007,4.7,Diesel,Manual,278203,Like New,31382.99,Fiesta
Ford,2005,5.6,Petrol,Automatic,252862,Like New,22849.55,Mustang
Tesla,2004,3.2,Petrol,Manual,171840,Like New,29822.3,Model 3
Honda,2014,2.3,Diesel,Manual,25395,New,76380.32,Fit
BMW,2021,3.2,Diesel,Automatic,282346,New,40155.51,5 Series
BMW,2014,4.6,Hybrid,Manual,229707,Like New,21471.98,X3
Tesla,2001,1.0,Diesel,Manual,247181,New,14346.62,Model X
Mercedes,2000,3.9,Petrol,Manual,204120,New,36094.75,E-Class
Mercedes,2022,4.1,Electric,Manual,224839,New,17932.96,GLA
Tesla,2022,4.2,Diesel,Automatic,219882,Like New,19855.49,Model Y
Mercedes,2010,2.2,Diesel,Automatic,103235,Used,69968.98,C-Class
Ford,2009,4.6,Hybrid,Manual,45510,Like New,6874.55,Explorer
BMW,2017,1.5,Hybrid,Automatic,87945,Like New,16167.56,5 Series
Tesla,2017,2.0,Diesel,Manual,242802,New,85214.72,Model S
BMW,2016,5.4,Petrol,Automatic,250168,New,85266.84,X5
Toyota,2007,4.7,Petrol,Automatic,2881,Used,36278.13,Prius
Ford,2014,1.1,Electric,Automatic,111860,Used,13355.54,Explorer
Audi,2007,2.2,Diesel,Automatic,166415,Used,71972.18,Q5
Ford,2016,2.1,Hybrid,Automatic,139728,Used,39212.51,Mustang
Tesla,2011,2.4,Petrol,Manual,267885,Like New,9319.14,Model S
Audi,2007,2.2,Electric,Automatic,147733,Used,19993.56,A4
Toyota,2013,1.3,Diesel,Manual,290834,Like New,18035.41,Camry
Tesla,2003,3.3,Petrol,Manual,294977,New,60966.05,Model S
Honda,2000,4.7,Diesel,Automatic,102566,Used,90321.17,CR-V
BMW,2000,4.0,Diesel,Manual,71240,New,80341.84,5 Series
Toyota,2018,4.4,Petrol,Automatic,106898,New,56919.02,Prius
BMW,2015,1.4,Petrol,Manual,209304,Like New,45104.74,3 Series
Mercedes,2013,5.8,Petrol,Manual,80522,Used,63774.29,GLC
Honda,2020,5.2,Diesel,Automatic,145512,Like New,47162.21,Accord
